date,region,category,inventory_units,stockout_rate
2026-05-01,West India,Apparel,16360,0.031
2026-05-01,West India,Accessories,13853,0.015
2026-05-01,West India,Footwear,15790,0.046
2026-05-01,North India,Apparel,16762,0.052
2026-05-01,North India,Accessories,13380,0.049
2026-05-01,North India,Footwear,14854,0.025
2026-05-01,South India,Apparel,17591,0.06
2026-05-01,South India,Accessories,12680,0.051
2026-05-01,South India,Footwear,15554,0.047
2026-05-02,West India,Apparel,19109,0.053
2026-05-02,West India,Accessories,13412,0.01
2026-05-02,West India,Footwear,13963,0.028
2026-05-02,North India,Apparel,17883,0.019
2026-05-02,North India,Accessories,12029,0.014
2026-05-02,North India,Footwear,14229,0.056
2026-05-02,South India,Apparel,18005,0.059
2026-05-02,South India,Accessories,12614,0.017
2026-05-02,South India,Footwear,16486,0.04
2026-05-03,West India,Apparel,17042,0.015
2026-05-03,West India,Accessories,13496,0.014
2026-05-03,West India,Footwear,14730,0.059
2026-05-03,North India,Apparel,15633,0.046
2026-05-03,North India,Accessories,13824,0.044
2026-05-03,North India,Footwear,14229,0.053
2026-05-03,South India,Apparel,18431,0.01
2026-05-03,South India,Accessories,13648,0.057
2026-05-03,South India,Footwear,15461,0.035
2026-05-04,West India,Apparel,16829,0.013
2026-05-04,West India,Accessories,15800,0.046
2026-05-04,West India,Footwear,17210,0.017
2026-05-04,North India,Apparel,17488,0.02
2026-05-04,North India,Accessories,13038,0.038
2026-05-04,North India,Footwear,13366,0.042
2026-05-04,South India,Apparel,17252,0.038
2026-05-04,South India,Accessories,14194,0.018
2026-05-04,South India,Footwear,15981,0.048
2026-05-05,West India,Apparel,18594,0.056
2026-05-05,West India,Accessories,14825,0.056
2026-05-05,West India,Footwear,15332,0.01
2026-05-05,North India,Apparel,15676,0.015
2026-05-05,North India,Accessories,12012,0.028
2026-05-05,North India,Footwear,16116,0.05
2026-05-05,South India,Apparel,19682,0.017
2026-05-05,South India,Accessories,16898,0.011
2026-05-05,South India,Footwear,15612,0.027
2026-05-06,West India,Apparel,18536,0.051
2026-05-06,West India,Accessories,14268,0.045
2026-05-06,West India,Footwear,16509,0.05
2026-05-06,North India,Apparel,15300,0.02
2026-05-06,North India,Accessories,13058,0.034
2026-05-06,North India,Footwear,13927,0.016
2026-05-06,South India,Apparel,16641,0.015
2026-05-06,South India,Accessories,12840,0.017
2026-05-06,South India,Footwear,15969,0.024
2026-05-07,West India,Apparel,18974,0.026
2026-05-07,West India,Accessories,14792,0.038
2026-05-07,West India,Footwear,15396,0.025
2026-05-07,North India,Apparel,14931,0.038
2026-05-07,North India,Accessories,13927,0.05
2026-05-07,North India,Footwear,14896,0.034
2026-05-07,South India,Apparel,14604,0.038
2026-05-07,South India,Accessories,13792,0.034
2026-05-07,South India,Footwear,15765,0.05
2026-05-08,West India,Apparel,15842,0.025
2026-05-08,West India,Accessories,15050,0.012
2026-05-08,West India,Footwear,14427,0.045
2026-05-08,North India,Apparel,15545,0.034
2026-05-08,North India,Accessories,11761,0.021
2026-05-08,North India,Footwear,13873,0.048
2026-05-08,South India,Apparel,15394,0.017
2026-05-08,South India,Accessories,14751,0.04
2026-05-08,South India,Footwear,15047,0.045
2026-05-09,West India,Apparel,17397,0.051
2026-05-09,West India,Accessories,15740,0.037
2026-05-09,West India,Footwear,17631,0.015
2026-05-09,North India,Apparel,16047,0.012
2026-05-09,North India,Accessories,13538,0.015
2026-05-09,North India,Footwear,14198,0.042
2026-05-09,South India,Apparel,16916,0.031
2026-05-09,South India,Accessories,12484,0.032
2026-05-09,South India,Footwear,15870,0.046
2026-05-10,West India,Apparel,19739,0.035
2026-05-10,West India,Accessories,15554,0.058
2026-05-10,West India,Footwear,16310,0.035
2026-05-10,North India,Apparel,14065,0.011
2026-05-10,North India,Accessories,12574,0.026
2026-05-10,North India,Footwear,14775,0.06
2026-05-10,South India,Apparel,15234,0.012
2026-05-10,South India,Accessories,12019,0.011
2026-05-10,South India,Footwear,17148,0.014
2026-05-11,West India,Apparel,19252,0.057
2026-05-11,West India,Accessories,15028,0.041
2026-05-11,West India,Footwear,17160,0.013
2026-05-11,North India,Apparel,14979,0.015
2026-05-11,North India,Accessories,12299,0.026
2026-05-11,North India,Footwear,15156,0.032
2026-05-11,South India,Apparel,17458,0.05
2026-05-11,South India,Accessories,12131,0.052
2026-05-11,South India,Footwear,15527,0.052
2026-05-12,West India,Apparel,17935,0.021
2026-05-12,West India,Accessories,15512,0.024
2026-05-12,West India,Footwear,16643,0.022
2026-05-12,North India,Apparel,18670,0.028
2026-05-12,North India,Accessories,12843,0.054
2026-05-12,North India,Footwear,13552,0.036
2026-05-12,South India,Apparel,19192,0.051
2026-05-12,South India,Accessories,14029,0.015
2026-05-12,South India,Footwear,15252,0.044
2026-05-13,West India,Apparel,16821,0.039
2026-05-13,West India,Accessories,14024,0.03
2026-05-13,West India,Footwear,15711,0.016
2026-05-13,North India,Apparel,15005,0.026
2026-05-13,North India,Accessories,10971,0.028
2026-05-13,North India,Footwear,14375,0.034
2026-05-13,South India,Apparel,18045,0.043
