week,region,campaign_spend,impressions,conversion_rate
2026-05-04,West India,471216.41,1440413,0.0388
2026-05-04,North India,461684.27,1455946,0.0342
2026-05-04,South India,457515.75,1443186,0.0338
2026-05-11,West India,578465.65,1854822,0.04
2026-05-11,North India,471202.81,1580338,0.0355
2026-05-11,South India,476969.37,1721342,0.0485
2026-05-18,West India,513156.98,2022035,0.0448
2026-05-18,North India,496167.19,1814194,0.0339
2026-05-18,South India,517553.68,1780338,0.0345
2026-05-25,West India,543805.1,2007261,0.0367
2026-05-25,North India,459206.51,1516384,0.0412
2026-05-25,South India,540823.53,2011299,0.0468
2026-06-01,West India,529588.68,2227476,0.0366
2026-06-01,North India,470392.48,1836003,0.0478
2026-06-01,South India,471494.21,1551687,0.0397
2026-06-08,West India,536793.14,1735074,0.0425
2026-06-08,North India,464009.6,1426647,0.0386
2026-06-08,South India,527009.31,2305894,0.0477
2026-06-15,West India,577703.51,2491555,0.0492
2026-06-15,North India,427097.87,1525940,0.0475
2026-06-15,South India,491599.3,2005492,0.0424
2026-06-22,West India,488127.11,2165521,0.0452
2026-06-22,North India,449466.42,1603500,0.0498
2026-06-22,South India,439228.71,1834852,0.034
2026-06-29,West India,487051.63,1905674,0.0375
2026-06-29,North India,433827.7,1862854,0.0401
2026-06-29,South India,514915.4,1995420,0.0457
2026-07-06,West India,485183.55,1646439,0.0363
2026-07-06,North India,539604.22,2115269,0.042
2026-07-06,South India,467157.83,1410062,0.038
2026-07-13,West India,517804.56,1782192,0.05
2026-07-13,North India,434559.2,1580979,0.0371
2026-07-13,South India,489946.08,1723405,0.0435
2026-07-20,West India,523876.1,2292960,0.0327
2026-07-20,North India,488759.61,1529683,0.0379
2026-07-20,South India,492445.41,1507734,0.0475
2026-07-27,West India,512005.43,1998568,0.0346
2026-07-27,North India,439214.38,1544150,0.0399
2026-07-27,South India,481941.19,1624206,0.0454
2026-08-03,West India,505661.97,2105275,0.0384
2026-08-03,North India,494353.34,2098106,0.044
2026-08-03,South India,508433.84,1557591,0.0381
2026-08-10,West India,563552.54,1942668,0.0425
2026-08-10,North India,500453.71,2063423,0.045
2026-08-10,South India,503447.73,2199978,0.0357
2026-08-17,West India,521780.86,2074817,0.0386
2026-08-17,North India,459743.49,1789991,0.0487
2026-08-17,South India,471423.95,1993471,0.0385
