date,region,category,orders,units,revenue
2026-05-01,West India,Apparel,167,288,360071.49
2026-05-01,West India,Accessories,121,216,228160.13
2026-05-01,West India,Footwear,114,155,279135.42
2026-05-01,North India,Apparel,140,246,293789.56
2026-05-01,North India,Accessories,76,115,188189.16
2026-05-01,North India,Footwear,102,135,229104.2
2026-05-01,South India,Apparel,143,240,330503.1
2026-05-01,South India,Accessories,75,130,194061.77
2026-05-01,South India,Footwear,125,191,246353.41
2026-05-02,West India,Apparel,199,326,384260.09
2026-05-02,West India,Accessories,98,143,252864.99
2026-05-02,West India,Footwear,132,184,287508.76
2026-05-02,North India,Apparel,147,207,321210.01
2026-05-02,North India,Accessories,95,163,204500.59
2026-05-02,North India,Footwear,117,200,241235.65
2026-05-02,South India,Apparel,163,235,344241.18
2026-05-02,South India,Accessories,114,159,218166.39
2026-05-02,South India,Footwear,109,177,266973.88
2026-05-03,West India,Apparel,146,223,356147.68
2026-05-03,West India,Accessories,118,160,227475.41
2026-05-03,West India,Footwear,130,205,283853.52
2026-05-03,North India,Apparel,136,214,315255.46
2026-05-03,North India,Accessories,99,130,202699.76
2026-05-03,North India,Footwear,124,186,244789.21
2026-05-03,South India,Apparel,162,215,322678.17
2026-05-03,South India,Accessories,104,169,213054.31
2026-05-03,South India,Footwear,106,173,259512.22
2026-05-04,West India,Apparel,131,181,322549.33
2026-05-04,West India,Accessories,106,176,199600.55
2026-05-04,West India,Footwear,134,207,258677.29
2026-05-04,North India,Apparel,119,181,281831.52
2026-05-04,North India,Accessories,83,134,171251.73
2026-05-04,North India,Footwear,108,146,203423.41
2026-05-04,South India,Apparel,112,184,283228.62
2026-05-04,South India,Accessories,69,116,179544.28
2026-05-04,South India,Footwear,108,155,234816.86
2026-05-05,West India,Apparel,132,201,333412.8
2026-05-05,West India,Accessories,98,155,200898.71
2026-05-05,West India,Footwear,105,176,263412.6
2026-05-05,North India,Apparel,134,216,287715.59
2026-05-05,North India,Accessories,82,110,191941.36
2026-05-05,North India,Footwear,125,193,230090.4
2026-05-05,South India,Apparel,166,224,319464.73
2026-05-05,South India,Accessories,95,167,184436.3
2026-05-05,South India,Footwear,114,181,238802.86
2026-05-06,West India,Apparel,137,211,353622.55
2026-05-06,West India,Accessories,119,183,223389.24
2026-05-06,West India,Footwear,120,190,306338.35
2026-05-06,North India,Apparel,139,203,280329.81
2026-05-06,North India,Accessories,86,112,185089.47
2026-05-06,North India,Footwear,97,132,245105.36
2026-05-06,South India,Apparel,163,266,309128.37
2026-05-06,South India,Accessories,83,139,198493.79
2026-05-06,South India,Footwear,102,144,258794.42
2026-05-07,West India,Apparel,152,225,341583.73
2026-05-07,West India,Accessories,87,126,212884.54
2026-05-07,West India,Footwear,140,218,284740.73
2026-05-07,North India,Apparel,117,161,300067.96
2026-05-07,North India,Accessories,85,152,183341.09
2026-05-07,North India,Footwear,98,171,235803.24
2026-05-07,South India,Apparel,143,208,316851.79
2026-05-07,South India,Accessories,85,126,198781.92
2026-05-07,South India,Footwear,105,150,251899.13
2026-05-08,West India,Apparel,176,239,351644.26
2026-05-08,West India,Accessories,125,173,241522.99
2026-05-08,West India,Footwear,120,167,301221.5
2026-05-08,North India,Apparel,124,221,302501.64
